task,method,raw_method,seed,class,f1
speed_shift,ERM-SDAE,erm,42,healthy,0.21438645980253881
speed_shift,ERM-SDAE,erm,42,outer,0.2800718132854578
speed_shift,ERM-SDAE,erm,42,inner,0.58777633289987
speed_shift,Mixup-SDAE,mixup,42,healthy,0.23124231242312426
speed_shift,Mixup-SDAE,mixup,42,outer,0.28891509433962265
speed_shift,Mixup-SDAE,mixup,42,inner,0.5917882592466915
speed_shift,CORAL-SDAE,coral,42,healthy,0.26190476190476186
speed_shift,CORAL-SDAE,coral,42,outer,0.410989010989011
speed_shift,CORAL-SDAE,coral,42,inner,0.6266404199475064
speed_shift,MMD-SDAE,mmd,42,healthy,0.2028985507246377
speed_shift,MMD-SDAE,mmd,42,outer,0.44687499999999997
speed_shift,MMD-SDAE,mmd,42,inner,0.6174957118353345
speed_shift,DANN-SDAE,dann,42,healthy,0.2113323124042879
speed_shift,DANN-SDAE,dann,42,outer,0.4
speed_shift,DANN-SDAE,dann,42,inner,0.6123845364351693
speed_shift,Adaptive-SDAE-3M,proposed,42,healthy,0.351575456053068
speed_shift,Adaptive-SDAE-3M,proposed,42,outer,0.5345622119815668
speed_shift,Adaptive-SDAE-3M,proposed,42,inner,0.7764518695306285
speed_shift,ERM-SDAE,erm,7,healthy,0.20089955022488754
speed_shift,ERM-SDAE,erm,7,outer,0.241635687732342
speed_shift,ERM-SDAE,erm,7,inner,0.6047244094488189
speed_shift,Mixup-SDAE,mixup,7,healthy,0.21883656509695287
speed_shift,Mixup-SDAE,mixup,7,outer,0.3318077803203661
speed_shift,Mixup-SDAE,mixup,7,inner,0.6048225050234427
speed_shift,CORAL-SDAE,coral,7,healthy,0.24054982817869414
speed_shift,CORAL-SDAE,coral,7,outer,0.3532796317606445
speed_shift,CORAL-SDAE,coral,7,inner,0.628188775510204
speed_shift,MMD-SDAE,mmd,7,healthy,0.2152777777777778
speed_shift,MMD-SDAE,mmd,7,outer,0.4391752577319588
speed_shift,MMD-SDAE,mmd,7,inner,0.6156462585034014
speed_shift,DANN-SDAE,dann,7,healthy,0.22945205479452055
speed_shift,DANN-SDAE,dann,7,outer,0.43321299638989164
speed_shift,DANN-SDAE,dann,7,inner,0.6041595635867711
speed_shift,Adaptive-SDAE-3M,proposed,7,healthy,0.3514285714285714
speed_shift,Adaptive-SDAE-3M,proposed,7,outer,0.5346197502837684
speed_shift,Adaptive-SDAE-3M,proposed,7,inner,0.8299912816041848
speed_shift,ERM-SDAE,erm,2024,healthy,0.22814814814814816
speed_shift,ERM-SDAE,erm,2024,outer,0.3162684869169511
speed_shift,ERM-SDAE,erm,2024,inner,0.5967581872312272
speed_shift,Mixup-SDAE,mixup,2024,healthy,0.23844282238442824
speed_shift,Mixup-SDAE,mixup,2024,outer,0.25092250922509224
speed_shift,Mixup-SDAE,mixup,2024,inner,0.5930851063829787
speed_shift,CORAL-SDAE,coral,2024,healthy,0.23861852433281006
speed_shift,CORAL-SDAE,coral,2024,outer,0.4191489361702128
speed_shift,CORAL-SDAE,coral,2024,inner,0.6274242939775434
speed_shift,MMD-SDAE,mmd,2024,healthy,0.19655172413793104
speed_shift,MMD-SDAE,mmd,2024,outer,0.42834479111581175
speed_shift,MMD-SDAE,mmd,2024,inner,0.6190954773869346
speed_shift,DANN-SDAE,dann,2024,healthy,0.2485875706214689
speed_shift,DANN-SDAE,dann,2024,outer,0.4455852156057495
speed_shift,DANN-SDAE,dann,2024,inner,0.6241182398387638
speed_shift,Adaptive-SDAE-3M,proposed,2024,healthy,0.36153846153846153
speed_shift,Adaptive-SDAE-3M,proposed,2024,outer,0.5217903415783274
speed_shift,Adaptive-SDAE-3M,proposed,2024,inner,0.7843775427176566
load_shift,ERM-SDAE,erm,42,healthy,0.35294117647058826
load_shift,ERM-SDAE,erm,42,outer,0.7699297810821975
load_shift,ERM-SDAE,erm,42,inner,0.7378640776699028
load_shift,Mixup-SDAE,mixup,42,healthy,0.4700239808153477
load_shift,Mixup-SDAE,mixup,42,outer,0.7763431903373594
load_shift,Mixup-SDAE,mixup,42,inner,0.7498104624715695
load_shift,CORAL-SDAE,coral,42,healthy,0.37714285714285717
load_shift,CORAL-SDAE,coral,42,outer,0.7772236076475478
load_shift,CORAL-SDAE,coral,42,inner,0.7533333333333335
load_shift,MMD-SDAE,mmd,42,healthy,0.40668523676880225
load_shift,MMD-SDAE,mmd,42,outer,0.780608052588332
load_shift,MMD-SDAE,mmd,42,inner,0.7532857679309051
load_shift,DANN-SDAE,dann,42,healthy,0.30476190476190473
load_shift,DANN-SDAE,dann,42,outer,0.7704185290532304
load_shift,DANN-SDAE,dann,42,inner,0.7395522388059702
load_shift,Adaptive-SDAE-3M,proposed,42,healthy,0.7424242424242424
load_shift,Adaptive-SDAE-3M,proposed,42,outer,0.7914485165794066
load_shift,Adaptive-SDAE-3M,proposed,42,inner,0.7904624277456648
load_shift,ERM-SDAE,erm,7,healthy,0.375
load_shift,ERM-SDAE,erm,7,outer,0.7752577319587629
load_shift,ERM-SDAE,erm,7,inner,0.7420679357969391
load_shift,Mixup-SDAE,mixup,7,healthy,0.4093567251461988
load_shift,Mixup-SDAE,mixup,7,outer,0.7742728390004098
load_shift,Mixup-SDAE,mixup,7,inner,0.7482229704451926
load_shift,CORAL-SDAE,coral,7,healthy,0.4183381088825215
load_shift,CORAL-SDAE,coral,7,outer,0.7694779116465864
load_shift,CORAL-SDAE,coral,7,inner,0.738249904470768
load_shift,MMD-SDAE,mmd,7,healthy,0.29940119760479045
load_shift,MMD-SDAE,mmd,7,outer,0.7749077490774907
load_shift,MMD-SDAE,mmd,7,inner,0.7439433469996273
load_shift,DANN-SDAE,dann,7,healthy,0.3253012048192771
load_shift,DANN-SDAE,dann,7,outer,0.7684080625257096
load_shift,DANN-SDAE,dann,7,inner,0.7374675083549944
load_shift,Adaptive-SDAE-3M,proposed,7,healthy,0.819672131147541
load_shift,Adaptive-SDAE-3M,proposed,7,outer,0.7949609035621198
load_shift,Adaptive-SDAE-3M,proposed,7,inner,0.7994132746607995
load_shift,ERM-SDAE,erm,2024,healthy,0.3519061583577712
load_shift,ERM-SDAE,erm,2024,outer,0.7714851485148514
load_shift,ERM-SDAE,erm,2024,inner,0.728957528957529
load_shift,Mixup-SDAE,mixup,2024,healthy,0.43915343915343913
load_shift,Mixup-SDAE,mixup,2024,outer,0.7839662447257384
load_shift,Mixup-SDAE,mixup,2024,inner,0.7673559822747416
load_shift,CORAL-SDAE,coral,2024,healthy,0.3846153846153846
load_shift,CORAL-SDAE,coral,2024,outer,0.7667785234899329
load_shift,CORAL-SDAE,coral,2024,inner,0.7564008778346746
load_shift,MMD-SDAE,mmd,2024,healthy,0.3343108504398827
load_shift,MMD-SDAE,mmd,2024,outer,0.7698607698607698
load_shift,MMD-SDAE,mmd,2024,inner,0.7340067340067341
load_shift,DANN-SDAE,dann,2024,healthy,0.3532934131736527
load_shift,DANN-SDAE,dann,2024,outer,0.7681632653061226
load_shift,DANN-SDAE,dann,2024,inner,0.7387724550898204
load_shift,Adaptive-SDAE-3M,proposed,2024,healthy,0.7815533980582524
load_shift,Adaptive-SDAE-3M,proposed,2024,outer,0.7968407196138658
load_shift,Adaptive-SDAE-3M,proposed,2024,inner,0.7999999999999999
radial_shift,ERM-SDAE,erm,42,healthy,0.34688346883468835
radial_shift,ERM-SDAE,erm,42,outer,0.616758826031476
radial_shift,ERM-SDAE,erm,42,inner,0.618421052631579
radial_shift,Mixup-SDAE,mixup,42,healthy,0.37911025145067695
radial_shift,Mixup-SDAE,mixup,42,outer,0.5903667697746354
radial_shift,Mixup-SDAE,mixup,42,inner,0.6128550074738415
radial_shift,CORAL-SDAE,coral,42,healthy,0.3604938271604939
radial_shift,CORAL-SDAE,coral,42,outer,0.6168384879725086
radial_shift,CORAL-SDAE,coral,42,inner,0.6228424531766434
radial_shift,MMD-SDAE,mmd,42,healthy,0.34210526315789475
radial_shift,MMD-SDAE,mmd,42,outer,0.6080554352533565
radial_shift,MMD-SDAE,mmd,42,inner,0.6295627032887603
radial_shift,DANN-SDAE,dann,42,healthy,0.33149171270718236
radial_shift,DANN-SDAE,dann,42,outer,0.6149979053204859
radial_shift,DANN-SDAE,dann,42,inner,0.6161802733653491
radial_shift,Adaptive-SDAE-3M,proposed,42,healthy,0.8027842227378191
radial_shift,Adaptive-SDAE-3M,proposed,42,outer,0.5439999999999999
radial_shift,Adaptive-SDAE-3M,proposed,42,inner,0.672396694214876
radial_shift,ERM-SDAE,erm,7,healthy,0.35326086956521735
radial_shift,ERM-SDAE,erm,7,outer,0.6138107416879796
radial_shift,ERM-SDAE,erm,7,inner,0.6265499635302698
radial_shift,Mixup-SDAE,mixup,7,healthy,0.3759398496240602
radial_shift,Mixup-SDAE,mixup,7,outer,0.6067608044501498
radial_shift,Mixup-SDAE,mixup,7,inner,0.6242647058823529
radial_shift,CORAL-SDAE,coral,7,healthy,0.33879781420765026
radial_shift,CORAL-SDAE,coral,7,outer,0.6155789473684211
radial_shift,CORAL-SDAE,coral,7,inner,0.6195211786372007
radial_shift,MMD-SDAE,mmd,7,healthy,0.3259668508287293
radial_shift,MMD-SDAE,mmd,7,outer,0.6204318936877076
radial_shift,MMD-SDAE,mmd,7,inner,0.610573343261355
radial_shift,DANN-SDAE,dann,7,healthy,0.3352272727272727
radial_shift,DANN-SDAE,dann,7,outer,0.5990422289943405
radial_shift,DANN-SDAE,dann,7,inner,0.6369789811186319
radial_shift,Adaptive-SDAE-3M,proposed,7,healthy,0.8314087759815243
radial_shift,Adaptive-SDAE-3M,proposed,7,outer,0.5601202404809619
radial_shift,Adaptive-SDAE-3M,proposed,7,inner,0.6897918731417245
radial_shift,ERM-SDAE,erm,2024,healthy,0.358695652173913
radial_shift,ERM-SDAE,erm,2024,outer,0.6300601202404809
radial_shift,ERM-SDAE,erm,2024,inner,0.6047049749325106
radial_shift,Mixup-SDAE,mixup,2024,healthy,0.3939393939393939
radial_shift,Mixup-SDAE,mixup,2024,outer,0.5961278703286806
radial_shift,Mixup-SDAE,mixup,2024,inner,0.6339704291381176
radial_shift,CORAL-SDAE,coral,2024,healthy,0.3538461538461538
radial_shift,CORAL-SDAE,coral,2024,outer,0.6147223417993973
radial_shift,CORAL-SDAE,coral,2024,inner,0.6277798031352534
radial_shift,MMD-SDAE,mmd,2024,healthy,0.30547550432276654
radial_shift,MMD-SDAE,mmd,2024,outer,0.6027753686036426
radial_shift,MMD-SDAE,mmd,2024,inner,0.627185158758473
radial_shift,DANN-SDAE,dann,2024,healthy,0.3157894736842105
radial_shift,DANN-SDAE,dann,2024,outer,0.5953177257525084
radial_shift,DANN-SDAE,dann,2024,inner,0.6037735849056604
radial_shift,Adaptive-SDAE-3M,proposed,2024,healthy,0.8235294117647058
radial_shift,Adaptive-SDAE-3M,proposed,2024,outer,0.5449101796407185
radial_shift,Adaptive-SDAE-3M,proposed,2024,inner,0.6785596299966964
