stage,expansion,hidden_dims,val_loss,accepted,improvement_abs,improvement_rel,traj_rel_std,traj_slope,traj_stable,task,source_domain,target_domain,seed
0,base,512-256,0.4950964640487324,True,,,0.29950922124931956,-0.3650000718332105,False,a_to_b,N09_M07_F10,N15_M01_F10,42
1,width,640-320,0.45179555361921137,False,0.043300910429521056,0.08745954288467497,0.29246536014006513,-0.3789929976386407,False,a_to_b,N09_M07_F10,N15_M01_F10,42
2,depth,512-256-128,0.5513947606086731,False,-0.056298296559940675,-0.11371177265042884,0.25586569247964036,-0.3587026330732532,False,a_to_b,N09_M07_F10,N15_M01_F10,42
0,base,512-256,0.43701600486581976,True,,,0.28103121202654896,-0.37962179126278056,False,a_to_c,N09_M07_F10,N15_M07_F04,42
1,width,640-320,0.43601576306603174,False,0.0010002417997880264,0.002288799011137219,0.3001364482057591,-0.41802592469799915,False,a_to_c,N09_M07_F10,N15_M07_F04,42
2,depth,512-256-128,0.597826827656139,False,-0.16081082279031927,-0.3679746759839933,0.20201795858897856,-0.2823992586904955,False,a_to_c,N09_M07_F10,N15_M07_F04,42
0,base,512-256,0.4928812222047286,True,,,0.2941038145311699,-0.3553766265992201,False,a_to_d,N09_M07_F10,N15_M07_F10,42
1,width,640-320,0.4506806189363653,False,0.04220060326836328,0.08562022931122008,0.25076312839093506,-0.33860642487002945,False,a_to_d,N09_M07_F10,N15_M07_F10,42
2,depth,512-256-128,0.5657301111654802,False,-0.07284888896075165,-0.14780211880438068,0.18918352433193744,-0.26454857626268957,False,a_to_d,N09_M07_F10,N15_M07_F10,42
0,base,512-256,0.5611850727688182,True,,,0.31976060074426044,-0.4074672106773623,False,b_to_a,N15_M01_F10,N09_M07_F10,42
1,width,640-320,0.528007371859117,False,0.03317770090970129,0.05912078299945968,0.3329768282598577,-0.44175340898575294,False,b_to_a,N15_M01_F10,N09_M07_F10,42
2,depth,512-256-128,0.6741190119223162,False,-0.11293393915349792,-0.20124188014534267,0.5203377317344943,-0.8331005634800083,False,b_to_a,N15_M01_F10,N09_M07_F10,42
0,base,512-256,0.595586283640428,True,,,0.3600396209116111,-0.3875218351041118,False,b_to_c,N15_M01_F10,N15_M07_F04,42
1,width,640-320,0.5498519160530784,False,0.04573436758734961,0.0767888194264741,0.3456583353767033,-0.3663690080565791,False,b_to_c,N15_M01_F10,N15_M07_F04,42
2,depth,512-256-128,0.5935758514837786,False,0.002010432156649422,0.0033755514723424625,0.4438162111992036,-0.5949364792916083,False,b_to_c,N15_M01_F10,N15_M07_F04,42
0,base,512-256,0.5608032237399708,True,,,0.3486807487600596,-0.35533361550300324,False,b_to_d,N15_M01_F10,N15_M07_F10,42
1,width,640-320,0.5651290606368672,False,-0.004325836896896362,-0.007713644846845843,0.36514872109105295,-0.37628053522879096,False,b_to_d,N15_M01_F10,N15_M07_F10,42
2,depth,512-256-128,0.5867807594212618,False,-0.02597753568129102,-0.04632201560477494,0.3634561884969642,-0.46998559351890334,False,b_to_d,N15_M01_F10,N15_M07_F10,42
0,base,512-256,0.61286461353302,True,,,0.27989058689612883,-0.37255840801423595,False,c_to_a,N15_M07_F04,N09_M07_F10,42
1,width,640-320,0.643633408979936,False,-0.03076879544691602,-0.05020488174303484,0.3349972653338779,-0.46498061418533326,False,c_to_a,N15_M07_F04,N09_M07_F10,42
2,depth,512-256-128,0.6730772202665155,False,-0.06021260673349549,-0.09824781102368434,0.3636039510185379,-0.5201228391739628,False,c_to_a,N15_M07_F04,N09_M07_F10,42
0,base,512-256,0.6170065348798578,True,,,0.2862961946173707,-0.310077832975695,False,c_to_b,N15_M07_F04,N15_M01_F10,42
1,width,640-320,0.5792827714573253,False,0.037723763422532475,0.061139973873822855,0.3345292570569163,-0.3865619078759226,False,c_to_b,N15_M07_F04,N15_M01_F10,42
2,depth,512-256-128,0.6435879360545765,False,-0.026581401174718744,-0.04308123118970631,0.3223200109517918,-0.4028350683950608,False,c_to_b,N15_M07_F04,N15_M01_F10,42
0,base,512-256,0.6229390718720176,True,,,0.27279694454079206,-0.2961808496905914,False,c_to_d,N15_M07_F04,N15_M07_F10,42
1,width,640-320,0.6052879962054166,False,0.017651075666600957,0.028335155817979192,0.2580073132212855,-0.2778349762962709,False,c_to_d,N15_M07_F04,N15_M07_F10,42
2,depth,512-256-128,0.6491387540643866,False,-0.02619968219236901,-0.042058177718144026,0.40836903617251874,-0.5250343084335327,False,c_to_d,N15_M07_F04,N15_M07_F10,42
0,base,512-256,0.574261792681434,True,,,0.28243779454051937,-0.3558442706061948,False,d_to_a,N15_M07_F10,N09_M07_F10,42
1,width,640-320,0.5529354106296193,False,0.021326382051814696,0.03713703806104561,0.31263883708204887,-0.4210217702773312,False,d_to_a,N15_M07_F10,N09_M07_F10,42
2,depth,512-256-128,0.7020163373513655,False,-0.12775454466993152,-0.22246742913784984,0.4854244055459691,-0.763557610588689,False,d_to_a,N15_M07_F10,N09_M07_F10,42
0,base,512-256,0.5548169856721704,True,,,0.33237727709796505,-0.3413525123750009,False,d_to_b,N15_M07_F10,N15_M01_F10,42
1,width,640-320,0.5423891300504858,False,0.01242785562168458,0.022399919149245256,0.35306198064112193,-0.36406508491885275,False,d_to_b,N15_M07_F10,N15_M01_F10,42
2,depth,512-256-128,0.6100294373252175,False,-0.05521245165304711,-0.09951471039798154,0.42016308269905767,-0.5549243188673446,False,d_to_b,N15_M07_F10,N15_M01_F10,42
0,base,512-256,0.5770050422711805,True,,,0.3297444675866204,-0.354380810645319,False,d_to_c,N15_M07_F10,N15_M07_F04,42
1,width,640-320,0.5826499624685808,False,-0.0056449201974002605,-0.009783138419693851,0.33304258463432423,-0.3407810714937026,False,d_to_c,N15_M07_F10,N15_M07_F04,42
2,depth,512-256-128,0.6328250874172557,False,-0.05582004514607519,-0.09674100060955952,0.44571726669765727,-0.5997221258378799,False,d_to_c,N15_M07_F10,N15_M07_F04,42
