task,variant,seed,accuracy,macro_f1,hidden_dims
speed_shift,full,42,0.4501466275659824,0.41323349010572863,640-320
speed_shift,full,7,0.5373900293255132,0.47401202381011726,640-320
speed_shift,full,2024,0.46810850439882695,0.4308442121928655,640-320
speed_shift,no_sparsity,42,0.5406891495601173,0.47351097840805817,640-320
speed_shift,no_sparsity,7,0.4530791788856305,0.4203943025699468,640-320
speed_shift,no_sparsity,2024,0.4875366568914956,0.4476427887423953,640-320
speed_shift,no_disc_upgrade,42,0.6110703812316716,0.5663206122331591,640-320
speed_shift,no_disc_upgrade,7,0.5982404692082112,0.559388415572852,640-320
speed_shift,no_disc_upgrade,2024,0.6085043988269795,0.567987066359282,640-320
speed_shift,squared_only,42,0.6092375366568915,0.5642923090739094,512-256
speed_shift,squared_only,7,0.6169354838709677,0.5699853023677192,512-256
speed_shift,squared_only,2024,0.6136363636363636,0.5673447172242044,512-256
speed_shift,adaptive_only,42,0.4402492668621701,0.3891968233175045,512-256-128
speed_shift,adaptive_only,7,0.4842375366568915,0.4398033718174709,512-256-128
speed_shift,adaptive_only,2024,0.5384897360703812,0.5019249134054335,512-256-128
speed_shift,no_oscillation,42,0.4501466275659824,0.41323349010572863,640-320
speed_shift,no_oscillation,7,0.5373900293255132,0.47401202381011726,640-320
speed_shift,no_oscillation,2024,0.46810850439882695,0.4308442121928655,640-320
speed_shift,vanilla,42,0.6206011730205279,0.5772694302397273,512-256-128
speed_shift,vanilla,7,0.591275659824047,0.5566295057880383,512-256-128
speed_shift,vanilla,2024,0.5953079178885631,0.5582315722616032,512-256-128
load_shift,full,42,0.7584310850439883,0.7521791786826824,640-320
load_shift,full,7,0.7961876832844574,0.8068461112180599,640-320
load_shift,full,2024,0.7265395894428153,0.7459913708479834,640-320
load_shift,no_sparsity,42,0.719574780058651,0.7337016819671859,512-256-128
load_shift,no_sparsity,7,0.7437683284457478,0.7356246951517513,512-256-128
load_shift,no_sparsity,2024,0.7151759530791789,0.7150325318846423,512-256-128
load_shift,no_disc_upgrade,42,0.7906891495601173,0.7875030310919767,640-320
load_shift,no_disc_upgrade,7,0.7947214076246334,0.7984273946298703,640-320
load_shift,no_disc_upgrade,2024,0.8079178885630498,0.822268418345959,640-320
load_shift,squared_only,42,0.7576979472140762,0.7445844325191064,512-256-128
load_shift,squared_only,7,0.7683284457478006,0.7619255464411788,512-256-128
load_shift,squared_only,2024,0.7404692082111437,0.652373920924119,512-256-128
load_shift,adaptive_only,42,0.718108504398827,0.745998029595214,512-256
load_shift,adaptive_only,7,0.7452346041055719,0.7588867333867636,512-256
load_shift,adaptive_only,2024,0.7133431085043989,0.7364290889429576,512-256
load_shift,no_oscillation,42,0.7584310850439883,0.7521791786826824,640-320
load_shift,no_oscillation,7,0.7961876832844574,0.8068461112180599,640-320
load_shift,no_oscillation,2024,0.7265395894428153,0.7459913708479834,640-320
load_shift,vanilla,42,0.7921554252199413,0.8108997023059666,512-256
load_shift,vanilla,7,0.7910557184750733,0.7996275837130767,512-256
load_shift,vanilla,2024,0.7998533724340176,0.8104017276527795,512-256
radial_shift,full,42,0.6118035190615836,0.654817352725639,640-320
radial_shift,full,7,0.6290322580645161,0.6727042449126085,640-320
radial_shift,full,2024,0.6466275659824047,0.7017484788535971,640-320
radial_shift,no_sparsity,42,0.6279325513196481,0.6617379326355515,512-256-128
radial_shift,no_sparsity,7,0.6169354838709677,0.6566671339040274,512-256-128
radial_shift,no_sparsity,2024,0.6066715542521994,0.6416581941614775,512-256-128
radial_shift,no_disc_upgrade,42,0.6660557184750733,0.7111813027725115,512-256
radial_shift,no_disc_upgrade,7,0.6667888563049853,0.7246620944409105,512-256
radial_shift,no_disc_upgrade,2024,0.6697214076246334,0.7226935414133759,512-256
radial_shift,squared_only,42,0.6389296187683284,0.6520287274532448,512-256-128
radial_shift,squared_only,7,0.6326979472140762,0.6793649286256948,512-256-128
radial_shift,squared_only,2024,0.5989736070381232,0.5483033616875901,512-256-128
radial_shift,adaptive_only,42,0.6140029325513197,0.6692797976494363,640-320
radial_shift,adaptive_only,7,0.6290322580645161,0.6754189775079448,640-320
radial_shift,adaptive_only,2024,0.657991202346041,0.7099268662506341,640-320
radial_shift,no_oscillation,42,0.6118035190615836,0.654817352725639,640-320
radial_shift,no_oscillation,7,0.6290322580645161,0.6727042449126085,640-320
radial_shift,no_oscillation,2024,0.6466275659824047,0.7017484788535971,640-320
radial_shift,vanilla,42,0.6447947214076246,0.6835791542106406,512-256-128
radial_shift,vanilla,7,0.6451612903225806,0.693706492285081,512-256-128
radial_shift,vanilla,2024,0.6268328445747801,0.6196602569992792,512-256-128
