task,variant,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_seeds
load_shift,adaptive_only,0.7255620723362659,0.017202721562834818,0.7471046173083117,0.011269642885477242,3
load_shift,full,0.760386119257087,0.03486518124181112,0.7683388869162419,0.0334914464307334,3
load_shift,no_disc_upgrade,0.7977761485826002,0.009011434050582714,0.802732948022602,0.017778115205023474,3
load_shift,no_oscillation,0.760386119257087,0.03486518124181112,0.7683388869162419,0.0334914464307334,3
load_shift,no_sparsity,0.7261730205278593,0.015395894428152479,0.7281196363345265,0.011374476783071661,3
load_shift,squared_only,0.7554985337243402,0.014059244069475868,0.7196279666281348,0.05888555472849813,3
load_shift,vanilla,0.7943548387096774,0.00479351056840984,0.8069763378906076,0.006369076515487745,3
radial_shift,adaptive_only,0.6336754643206256,0.022358700613762834,0.6848752138026718,0.02191144335989536,3
radial_shift,full,0.6291544477028348,0.017412345009121328,0.6764233588306149,0.02368557590942028,3
radial_shift,no_disc_upgrade,0.6675219941348973,0.001939700374680783,0.7195123128755992,0.007281696042740831,3
radial_shift,no_oscillation,0.6291544477028348,0.017412345009121328,0.6764233588306149,0.02368557590942028,3
radial_shift,no_sparsity,0.6171798631476051,0.010632605042916458,0.6533544202336855,0.010441720557123483,3
radial_shift,squared_only,0.623533724340176,0.021496696351020122,0.6265656725888432,0.06914158628740351,3
radial_shift,vanilla,0.6389296187683284,0.01047771695597981,0.6656486344983336,0.04014771342013329,3
speed_shift,adaptive_only,0.4876588465298142,0.04920951603599944,0.443641702846803,0.056461979796462246,3
speed_shift,full,0.4852150537634408,0.04606873463659169,0.43936324203623706,0.031271999327162764,3
speed_shift,no_disc_upgrade,0.6059384164222874,0.006788951311382762,0.5645653647217643,0.0045601391652488315,3
speed_shift,no_oscillation,0.4852150537634408,0.04606873463659169,0.43936324203623706,0.031271999327162764,3
speed_shift,no_sparsity,0.49376832844574775,0.04413617607095299,0.4471826899068001,0.02656132679718083,3
speed_shift,squared_only,0.6132697947214076,0.003862043164535487,0.567207442888611,0.002848978122634578,3
speed_shift,vanilla,0.602394916911046,0.01589545838967059,0.564043502763123,0.011481965095693738,3
