task,method,raw_method,accuracy_mean,accuracy_std,n_seeds
a+b+c_to_d,Adaptive-SDAE-3M,proposed,0.782258064516129,0.0,1
a+b+c_to_d,CORAL-SDAE,coral,0.7225073313782991,0.0,1
a+b+c_to_d,DANN-SDAE,dann,0.7445014662756598,0.0,1
a+b+c_to_d,ERM-SDAE,erm,0.751466275659824,0.0,1
a+b+c_to_d,MMD-SDAE,mmd,0.7437683284457478,0.0,1
a+b+c_to_d,Mixup-SDAE,mixup,0.7694281524926686,0.0,1
a+b+d_to_c,Adaptive-SDAE-3M,proposed,0.6752199413489736,0.0,1
a+b+d_to_c,CORAL-SDAE,coral,0.6293988269794721,0.0,1
a+b+d_to_c,DANN-SDAE,dann,0.6381964809384164,0.0,1
a+b+d_to_c,ERM-SDAE,erm,0.6392961876832844,0.0,1
a+b+d_to_c,MMD-SDAE,mmd,0.625366568914956,0.0,1
a+b+d_to_c,Mixup-SDAE,mixup,0.6444281524926686,0.0,1
a+c+d_to_b,Adaptive-SDAE-3M,proposed,0.7991202346041055,0.0,1
a+c+d_to_b,CORAL-SDAE,coral,0.7221407624633431,0.0,1
a+c+d_to_b,DANN-SDAE,dann,0.7470674486803519,0.0,1
a+c+d_to_b,ERM-SDAE,erm,0.7657624633431085,0.0,1
a+c+d_to_b,MMD-SDAE,mmd,0.749633431085044,0.0,1
a+c+d_to_b,Mixup-SDAE,mixup,0.781891495601173,0.0,1
b+c+d_to_a,Adaptive-SDAE-3M,proposed,0.39552785923753664,0.0,1
b+c+d_to_a,CORAL-SDAE,coral,0.4864369501466276,0.0,1
b+c+d_to_a,DANN-SDAE,dann,0.500366568914956,0.0,1
b+c+d_to_a,ERM-SDAE,erm,0.4736070381231672,0.0,1
b+c+d_to_a,MMD-SDAE,mmd,0.501466275659824,0.0,1
b+c+d_to_a,Mixup-SDAE,mixup,0.4464809384164223,0.0,1
